x,y,Loc,Int,AgeSl,Ecc
-9,21,1,31.24693967,-0.075571908,22.84731932
-3,21,2,30.61048011,-0.064854354,21.21320344
3,21,3,28.92748891,-0.047589244,21.21320344
9,21,4,29.62942384,-0.061632631,22.84731932
-15,15,5,31.24507679,-0.050608782,21.21320344
-9,15,6,31.93900748,-0.047282312,17.49285568
-3,15,7,31.91797546,-0.048135627,15.29705854
3,15,8,31.59673024,-0.049665286,15.29705854
9,15,9,32.72070179,-0.063276214,17.49285568
15,15,10,32.5027939,-0.070523553,21.21320344
-21,9,11,32.56944058,-0.070786159,22.84731932
-15,9,12,33.4859555,-0.056927736,17.49285568
-9,9,13,34.22449951,-0.051049628,12.72792206
-3,9,14,33.75440552,-0.043637138,9.486832981
3,9,15,34.47494056,-0.063137542,9.486832981
9,9,16,33.85265398,-0.067143913,12.72792206
15,9,17,34.053467,-0.071603993,17.49285568
21,9,18,33.56831692,-0.079153703,22.84731932
-27,3,19,31.9069316,-0.087191228,27.16615541
-21,3,20,33.92396633,-0.081232933,21.21320344
-15,3,21,34.91358302,-0.064523823,15.29705854
-9,3,22,35.44476632,-0.054723262,9.486832981
9,3,23,35.69766524,-0.070519729,9.486832981
15,3,24,0,0,15.29705854
21,3,25,32.98044273,-0.055375731,21.21320344
-27,-3,26,31.79541061,-0.083528732,27.16615541
-21,-3,27,33.58196805,-0.069035896,21.21320344
-15,-3,28,35.34811795,-0.062905926,15.29705854
-9,-3,29,35.26040219,-0.044390386,9.486832981
9,-3,30,36.33681243,-0.073073202,9.486832981
15,-3,31,0,0,15.29705854
21,-3,32,34.28217006,-0.073394047,21.21320344
-21,-9,33,32.56535513,-0.06824501,22.84731932
-15,-9,34,33.86522863,-0.047987206,17.49285568
-9,-9,35,35.20379435,-0.049518975,12.72792206
-3,-9,36,35.22505964,-0.0553716,9.486832981
3,-9,37,35.19730597,-0.053735183,9.486832981
9,-9,38,35.699203,-0.069929314,12.72792206
15,-9,39,34.8856713,-0.066480619,17.49285568
21,-9,40,33.70780218,-0.066377924,22.84731932
-15,-15,41,33.81562768,-0.067470393,21.21320344
-9,-15,42,34.24270142,-0.060254146,17.49285568
-3,-15,43,33.41407456,-0.046377776,15.29705854
3,-15,44,33.6240017,-0.050599668,15.29705854
9,-15,45,33.27402703,-0.037132996,17.49285568
15,-15,46,35.54611553,-0.08653289,21.21320344
-9,-21,47,34.21701778,-0.088981054,22.84731932
-3,-21,48,34.08500121,-0.082794715,21.21320344
3,-21,49,33.5144254,-0.063531559,21.21320344
9,-21,50,33.94711499,-0.068852234,22.84731932
-1,9,51,33.27380674,-0.038100381,9.055385138
1,9,52,32.70111701,-0.047510475,9.055385138
-5,7,53,33.67491075,-0.041190412,8.602325267
-3,7,54,33.73565636,-0.027335273,7.615773106
-1,7,55,33.21110611,-0.025650257,7.071067812
1,7,56,32.77793478,-0.027915279,7.071067812
3,7,57,33.15847358,-0.030510305,7.615773106
5,7,58,32.89107091,-0.028450285,8.602325267
-7,5,59,34.61880119,-0.049905499,8.602325267
-5,5,60,34.07393874,-0.027600276,7.071067812
-3,5,61,34.74931149,-0.03204032,5.830951895
-1,5,62,34.20877709,-0.029095291,5.099019514
1,5,63,34.76286763,-0.044620446,5.099019514
3,5,64,34.16306563,-0.028870289,5.830951895
5,5,65,33.74479645,-0.027555276,7.071067812
7,5,66,33.81090811,-0.041400414,8.602325267
-7,3,67,33.69915099,-0.022080221,7.615773106
-5,3,68,35.52062221,-0.041415414,5.830951895
-3,3,69,36.15379354,-0.039150392,4.242640687
-1,3,70,36.04173942,-0.043455435,3.16227766
1,3,71,35.90347903,-0.041440414,3.16227766
3,3,72,36.10353404,-0.037065371,4.242640687
5,3,73,35.11499215,-0.034715347,5.830951895
7,3,74,35.08508885,-0.049750498,7.615773106
-9,1,75,34.08079381,-0.027765278,9.055385138
-7,1,76,33.68786888,-0.010430104,7.071067812
-5,1,77,34.27879479,-0.00496005,5.099019514
-3,1,78,35.63862539,-0.018435184,3.16227766
-1,1,79,36.18461385,-0.042080421,1.414213562
1,1,80,36.57069471,-0.058375584,1.414213562
3,1,81,36.09217492,-0.031540315,3.16227766
5,1,82,35.35393654,-0.027775278,5.099019514
7,1,83,34.76299963,-0.034120341,7.071067812
9,1,84,34.26906069,-0.05199052,9.055385138
-9,-1,85,34.32299523,-0.034470345,9.055385138
-7,-1,86,34.10942809,-0.022765228,7.071067812
-5,-1,87,34.87062671,-0.018330183,5.099019514
-3,-1,88,35.98704187,-0.030760308,3.16227766
-1,-1,89,35.87732777,-0.030745307,1.414213562
1,-1,90,36.22927629,-0.034840348,1.414213562
3,-1,91,36.31155912,-0.035070351,3.16227766
5,-1,92,35.71161412,-0.030695307,5.099019514
7,-1,93,34.68533085,-0.030500305,7.071067812
9,-1,94,34.82097621,-0.058710587,9.055385138
-7,-3,95,34.62130621,-0.032460325,7.615773106
-5,-3,96,34.59176592,-0.018620186,5.830951895
-3,-3,97,35.500266,-0.024295243,4.242640687
-1,-3,98,34.82486025,-0.022480225,3.16227766
1,-3,99,35.89667897,-0.036900369,3.16227766
3,-3,100,35.95505155,-0.0299903,4.242640687
5,-3,101,35.09217492,-0.031540315,5.830951895
7,-3,102,34.77557276,-0.03398534,7.615773106
-7,-5,103,34.26359564,-0.032165322,8.602325267
-5,-5,104,33.90606106,-0.017870179,7.071067812
-3,-5,105,34.96297763,-0.035870359,5.830951895
-1,-5,106,34.52073221,-0.032665327,5.099019514
1,-5,107,34.199769,-0.018375184,5.099019514
3,-5,108,34.61107311,-0.028275283,5.830951895
5,-5,109,33.67860779,-0.019835198,7.071067812
7,-5,110,33.96412564,-0.035460355,8.602325267
-5,-7,111,32.87414774,-0.01097511,8.602325267
-3,-7,112,33.98357584,-0.033740337,7.615773106
-1,-7,113,33.68078281,-0.028640286,7.071067812
1,-7,114,33.58252683,-0.026275263,7.071067812
3,-7,115,34.01107311,-0.028275283,7.615773106
5,-7,116,33.36074761,-0.031440314,8.602325267
-1,-9,117,32.69344393,-0.021505215,9.055385138
1,-9,118,33.92857029,-0.045545455,9.055385138